Yearcross,DOYcross,Hourcross,Minutecross,Typecross,DIRNcross,DOYFRACcross,Timestamp(UTC),X_KSM(km),Y_KSM(km),Z_KSM(km)
2004,179,9,46,BS,I,179.40694444444443,2004-06-27 09:46:00,1352690.25,-2625383.75,-262822.65625
2004,179,10,28,BS,O,179.4361111111111,2004-06-27 10:28:00,1346041.875,-2608548.5,-260185.21875
2004,179,18,4,BS,I,179.75277777777777,2004-06-27 18:04:00,1273048.75,-2424110.0,-231365.5625
2004,179,20,0,BS,O,179.83333333333334,2004-06-27 20:00:00,1254225.625,-2376676.5,-223978.25
2004,180,0,18,BS,I,180.0125,2004-06-28 00:18:00,1211950.25,-2270361.0,-207462.109375
2004,180,2,57,BS,O,180.12291666666667,2004-06-28 02:57:00,1185595.0,-2204246.25,-197222.59375
2004,180,5,38,BS,I,180.23472222222225,2004-06-28 05:38:00,1158684.75,-2136882.0,-186816.765625
2004,180,18,43,MP,I,180.7798611111111,2004-06-28 18:43:00,1022991.875,-1799824.75,-135251.078125
2004,180,18,49,MP,O,180.78402777777777,2004-06-28 18:49:00,1021923.0,-1797190.0,-134851.859375
2004,180,19,53,MP,I,180.82847222222225,2004-06-28 19:53:00,1010487.8125,-1769023.75,-130588.484375
2004,180,20,23,MP,O,180.8493055555556,2004-06-28 20:23:00,1005105.375,-1755780.875,-128586.765625
2004,180,20,27,MP,I,180.85208333333333,2004-06-28 20:27:00,1004386.625,-1754013.125,-128319.71875
2004,180,20,44,MP,O,180.8638888888889,2004-06-28 20:44:00,1001329.125,-1746495.25,-127184.3203125
2004,180,21,9,MP,I,180.88125,2004-06-28 21:09:00,996824.1875,-1735424.375,-125513.40625
2004,180,21,32,MP,O,180.8972222222222,2004-06-28 21:32:00,992670.5625,-1725222.625,-123974.8515625
2004,180,21,56,MP,I,180.9138888888889,2004-06-28 21:56:00,988327.0,-1714560.75,-122368.1015625
2004,180,23,7,MP,O,180.96319444444444,2004-06-28 23:07:00,975419.6875,-1682916.5,-117606.765625
2004,181,2,43,MP,I,181.11319444444445,2004-06-29 02:43:00,935591.9375,-1585657.0,-103046.9765625
2004,186,4,42,MP,O,186.19583333333333,2004-07-04 04:42:00,-483221.6875,-1750252.0,-830433.625
2004,186,10,24,MP,I,186.4333333333333,2004-07-04 10:24:00,-483221.6875,-1750252.0,-830433.625
2004,186,17,57,MP,O,186.74791666666667,2004-07-04 17:57:00,-483221.6875,-1750252.0,-830433.625
2004,186,20,17,MP,I,186.8451388888889,2004-07-04 20:17:00,-483221.6875,-1750252.0,-830433.625
2004,188,7,6,MP,O,188.2958333333333,2004-07-06 07:06:00,-483221.6875,-1750252.0,-830433.625
2004,188,8,11,MP,I,188.34097222222223,2004-07-06 08:11:00,-483221.6875,-1750252.0,-830433.625
2004,188,13,14,MP,O,188.55138888888888,2004-07-06 13:14:00,-483221.6875,-1750252.0,-830433.625
2004,188,15,13,MP,I,188.6340277777778,2004-07-06 15:13:00,-483221.6875,-1750252.0,-830433.625
2004,188,19,39,MP,O,188.81875,2004-07-06 19:39:00,-483221.6875,-1750252.0,-830433.625
2004,189,14,5,BS,O,189.5868055555556,2004-07-07 14:05:00,-483221.6875,-1750252.0,-830433.625
2004,189,16,15,BS,I,189.6770833333333,2004-07-07 16:15:00,-483221.6875,-1750252.0,-830433.625
2004,189,21,46,BS,O,189.90694444444443,2004-07-07 21:46:00,-483221.6875,-1750252.0,-830433.625
2004,190,0,30,BS,I,190.02083333333331,2004-07-08 00:30:00,-483221.6875,-1750252.0,-830433.625
2004,190,4,13,BS,O,190.17569444444445,2004-07-08 04:13:00,-483221.6875,-1750252.0,-830433.625
2004,190,10,56,BS,I,190.45555555555555,2004-07-08 10:56:00,-417736.96875,-4477503.5,-1733354.375
2004,190,11,54,BS,O,190.4958333333333,2004-07-08 11:54:00,-417736.96875,-4477503.5,-1733354.375
2004,190,11,54,DG,S_SW,190.4958333333333,2004-07-08 11:54:00,-417736.96875,-4477503.5,-1733354.375
